Date,Cost (£) of Amozicillin,Cost (£) of Doxycycline Hyclate,Cost (£) of Cefalexin,"Cost (£) of Amoxicillin, Doxycycline Hyclate, and Cefalexin"
2016-06-01,723075.27,319257.85,102510.26,1144843.38
2016-07-01,715976.14,302165.29,102510.5,1120651.93
2016-08-01,601629.09,288778.14,101797.15,992204.38
2016-09-01,674547.06,299548.12,104026.2,1078121.38
2016-10-01,915656.47,334579.69,101124.46,1351360.62
2016-11-01,1086092.74,371928.48,104744.19,1562765.41
2016-12-01,1332072.84,420979.41,109233.93,1862286.18
2017-01-01,1260825.44,430970.81,104245.89,1796042.14
2017-02-01,999002.31,362181.47,94747.56,1455931.34
2017-03-01,951099.41,381835.65,106471.54,1439406.6
2017-04-01,767132.16,312668.72,87970.82,1167771.7
2017-05-01,795452.59,334777.04,95411.4,1225641.03
2017-06-01,649513.68,312937.15,95998.03,1058448.86
2017-07-01,672721.84,302468.43,88766.3,1063956.57
2017-08-01,604891.15,285277.93,82844.91,973013.99
2017-09-01,687848.5,291412.89,81626.78,1060888.17
2017-10-01,807587.4,331637.57,84708.08,1223933.05
2017-11-01,889468.17,329568.08,83039.34,1302075.59
2017-12-01,1050019.86,374173.12,83518.35,1507711.33
2018-01-01,1120037.87,389203.73,93810.08,1603051.68
2018-02-01,847868.86,303278.36,80593.29,1231740.51
2018-03-01,816426.36,314176.22,87815.42,1218418.0
2018-04-01,555756.33,217828.12,94763.22,868347.67
2018-05-01,532848.74,210703.31,97459.61,841011.66
2018-06-01,436885.17,202228.84,94533.87,733647.88
2018-07-01,452633.46,219626.11,98624.02,770883.59
2018-08-01,471911.35,253609.72,117342.14,842863.21
2018-09-01,590391.61,259341.03,109284.46,959017.1
2018-10-01,800694.9,326980.81,119199.45,1246875.16
2018-11-01,804827.19,309904.45,107170.41,1221902.05
2018-12-01,917046.52,332118.23,107768.6,1356933.35
2019-01-01,994095.68,376774.55,112153.37,1483023.6
2019-02-01,828194.26,317184.82,96727.99,1242107.07
2019-03-01,728051.13,315528.78,104498.04,1148077.95
2019-04-01,701145.37,325364.96,102450.79,1128961.12
2019-05-01,606924.23,323026.33,109002.61,1038953.17
2019-06-01,535428.86,302624.41,102555.82,940609.09
2019-07-01,560978.56,325541.18,110427.46,996947.2
2019-08-01,570369.86,365425.35,120345.49,1056140.7
2019-09-01,668519.54,364862.55,112103.09,1145485.18
2019-10-01,1007170.8,513368.1,125403.59,1645942.49
2019-11-01,1123567.11,508837.09,123112.56,1755516.76
2019-12-01,1444710.72,566816.68,127997.17,2139524.57
2020-01-01,1228833.05,872039.85,136469.89,2237342.79
2020-02-01,1000404.73,713020.64,125714.83,1839140.2
2020-03-01,1027387.54,822089.61,141835.75,1991312.9
2020-04-01,707322.95,634715.94,146173.88,1488212.77
2020-05-01,449324.61,513347.86,133044.83,1095717.3
2020-06-01,458757.62,555020.99,150827.94,1164606.55
2020-07-01,454349.19,540426.62,163037.82,1157813.63
2020-08-01,433947.42,481276.39,149225.91,1064449.72
2020-09-01,665443.09,573924.47,169058.11,1408425.67
2020-10-01,642079.72,535275.13,167395.5,1344750.35
2020-11-01,578696.76,513486.12,165046.1,1257228.98
2020-12-01,633291.15,545920.16,176860.89,1356072.2
2021-01-01,549621.35,571020.0,174868.45,1295509.8
2021-02-01,443637.86,486420.98,165681.18,1095740.02
2021-03-01,518278.85,532698.31,184700.42,1235677.58
2021-04-01,547597.01,499766.67,176177.09,1223540.77
2021-05-01,661404.7,477353.99,171393.83,1310152.52
